Temp,Humidity,PMV,TossTurn,Noise,SleptWell
30.9,68.7,0.9942063476650688,0,0,50.0
30.9,68.6,0.9941929468678858,0,0,50.0
30.9,68.7,0.9942063476650688,0,0,50.0
30.9,68.8,0.9942197484622528,0,0,50.0
30.9,68.9,0.9942331492594358,0,0,50.0
30.9,68.9,0.9942331492594358,0,0,50.0
30.9,68.9,0.9942331492594358,0,0,50.0
30.9,69.0,0.9942465500566198,0,0,50.0
30.9,68.9,0.9942331492594358,0,0,50.0
30.9,69.0,0.9942465500566198,0,0,50.0
22.0,50.0,-0.3460342330707799,0,0,50.0
22.0,50.0,-0.3460342330707799,0,0,50.0
22.0,50.0,-0.3460342330707799,0,0,50.0
22.0,50.0,-0.3460342330707799,0,0,50.0
22.0,50.0,-0.3460342330707799,0,0,50.0
22.0,50.0,-0.34603423307077996,0,0,68.0
